rating,rating title,Review text,Review date,Date of Experience,rating_procesed,Year of review ,Year of experience,DIff in months ,,,,,,Issue,,,,,,
Rated 5 out of 5 stars,Better than most of the rest.,"From day one this company has been outstanding, the user interface on the website is great. The mobile app is also a great tool to have, it saved me quite a few times. They also have a lot of other business features that would definitely help your business. I would recommend finor over most all other business accounts.","Nov 30, 2023","October 31, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 1 out of 5 stars,They never sent my debit card after…,They never sent my debit card after requesting 3 different times. So I'm not able to use my account..,"Nov 30, 2023","March 16, 2023",1,2023,2023,8,,,,,,,,,,,,
Rated 5 out of 5 stars,As a small business I needed a…,"As a small business owner, finding a financial institution that prioritizes my interests without imposing excessive fees and charges was crucial. finor has proven to be the perfect solution, enabling me to concentrate on achieving my business growth goals without unnecessary financial burdens. Their approach aligns seamlessly with the needs of my small business, providing the support and flexibility I require for success.","Nov 30, 2023","November 29, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Excellent for small businesses and…,"Excellent for small businesses and free, really free.  Great for invoicing and all kinds of things.  The only issue, and for me it's not a big issue, is a zelle-type feature.  It takes too long to send money.","Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Love finor! It's a great banking tool for small business owners,finor has a great product with great customer service & I would recommend it to other small business owners!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Just like a walk in bank,Just like a walk in bank. I love all the perks finor offers,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is AMAZING for any small business…,finor is AMAZING for any small business who needs to wants to use Profit First without the hassle of several bank accounts.  finor makes it easy to keep track of your budget with reserves so you can confidently spend for your business without worry.  I seriously would recommend it to anyone who wants their bank account to be more organized.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I love finor for my small business,"I love finor for my small business! I love that there are no fees, I can invoice right from the app, I can put money in reserves (to separate out different pots of money visually), customer service is great. I rarely need to send checks but if I do, I just put the info in and finor sends it for me for free (they don't even charge for the stamp). I've had a great experience so far! Highly recommend!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Simple. Fast. Easy.,The UX is fantastic. The onboarding experience to open an account is wonderfully simple. The in app support is responsive and helpful. 10/10,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Excellent Banking!,Easy and efficient business banking.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,"Internet Bank for Business Accounts, don't miss it.",I was surprised by all the different gadgets inside the finor site. Is the best internet Bank that serve the small business. I am so impressed.,"Nov 30, 2023","November 13, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Best online banks to open small business accounts,The finor bank app features and services are amazing. Easy to setup a business account and generate invoices for vendors.,"Nov 30, 2023","November 30, 2022",5,2023,2022,12,,,,,,,,,,,,
Rated 2 out of 5 stars,Nova Not Ready Yet!,"Nova is a nice idea, but simply isn't recommended to small businesses at this time. Because of the following reasons:1-The debit card has limited use since  many sites view Nova's Debit Card as a prepaid card and won't accept it, including major accounts with whom I have contracts. 2-No telephone access to a live customer service person for 48-72 hours after a problem or help is needed. I consider this totally unacceptable, their are to many banks still around with 24/7 phone access3-No ATM Network allowing free withdrawals, which wasn't an issue until recently, because initially Nova refunded all ATM fees, now only 2 a month. Basically our Company is subject to ATM fees because Nova is still a small fish on Training Wheels.4-No Zelle access on their accounts. Nova does offer a free transfer feature to and from connected account withouta fee. But this option will takes days to receive or to be received. Yes, they have a same day expedited option which ""Charges"" an additional fee. But when I used this option, the still posted the next after paying the fee. Since it takes 2/3 days to be contacted by customer service I had no support during this failed transaction.5-Nova doesn't offer 2 day advance posting for direct deposits, in fact their deposits posts slower than any bank I have used in the last 20 years, not good if you're a small business with cash flow challenges or a medium size businesses who wants timely access to it's liquid capital.6-No interest bearing savings account, which isn't competitive since there are plenty of other internet banks offering 4% or more on their savings accounts, Nova gets another poor mark on this point. They do offer sub accounts which would be very helpful and productive, but without interest the sub account feature benefits Nova much more than its business customers.In closing, Nova is a nice group of people, those that I have had the opportunity to engage with.But overall as a business person who has been on their platform for almost 3 years I give them a failing grade and wouldn't recommend them at this time. Based on what I have seen I believe they are 2/2.5 years away from offering ""Tier One Services and Financial Access"" until, RUN!","Nov 30, 2023","November 29, 2023",2,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Amazing online banking for small biz.,Amazing online banking for small biz.Been using finor since 2021 when I first got accepted into the new company and it's good to know that the founder went to my college. Thanks finor!,"Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Best Business Bank for New and Small Businesses,finor has been my premier bank for my business for several years. They opened my business checking when other banks wouldn't because I hadn't been in business for 2 yrs already. I am loyal to them and recommend them to any new business looking to establish a new account. The website is fantastic - it's always functioning perfectly and allows me to get things done quickly. Their low fees and great customer service makes running a business easier than ever!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Banking them for years and there's no…,Banking them for years and there's no funny business going on here at this bank. It's good for a startup business.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 1 out of 5 stars,DO NOT BANK WITH finor,"There were several transactions from my account to a business somewhere in Africa that were not authorized. I contacted customer service and they denied my dispute. I asked for proof of the purchases and finor sent ""they requested documents from the merchant who provided enough evidence that the dispute could not be processed."" finor didn't show me the evidence when asked for it nor a receipt or anything else with my signature that validates the transactions. Then, they just started closing my tickets without any explanation. finor is the absolute worst banking institution.","Nov 30, 2023","December 17, 2022",1,2023,2022,11,,,,,,,,,,,,
Rated 5 out of 5 stars,No issues almost two years we’ve used,Easy to use apps and very easy to do business with!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Easy to use apps and very easy to do…,I love finor! A great small business banking platform. Fulfills all my needs as a service-based business. Highly recommend!,"Dec 1, 2023","November 22, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I love finor,"They make for a great bank to accept payments for my web based business.  No hassle, easy setup, virtually zero fees.  It's been a flawless experience so far.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great bank for online biz.,I’m Very Satisfied with Discovering finor Bank! I been with finor over 3 years and the App works wonderfully and the Service is Great! SophanStyle,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 4 out of 5 stars,Easy to join for my business banking,So far so good. I have used it for my small business so that I wouldn't get charged fees for not having enough funds etc.  It's been really great!  I have used the service for 3 years now with no issues!,"Nov 30, 2023","November 30, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Happy Client …,finor is a great banking institution to work with as small businesses owner.I have been without stress ever since I joined finor and am very happy to be part of this great company.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,So far so good,Customer service is awesome and everything in the app is easy to navigate. Makes one thing in my business streamlined and easy,"Nov 30, 2023","November 29, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is a great banking institution to…,finor has been wonderful to worth with as a small business owner. I can't sing enough praises.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Customer service is awesome and…,"I was leery at first about signing up for finor, but have been a customer for about two years and have been met with nothing but satisfaction. They are constantly taking in feedback and actively listening to customers for ways to improve, they add new integrations, and it’s a no nonsense kind of experience. Really easy features to keep control of your money.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,A company who cares about small business,They are great but they are new so they are strict on a lot of things with little flexibility,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Simple--in a good way.,finor has been a fairly hassle-free way to manage my business income. It's just me trying to do the day-to-day grind and finor is simple but provides all the things I need.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great experience,"Great experience, very good customer service!!!","Nov 30, 2023","November 25, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is the User Friendly One,finor is user friendly and constantly improving.  Saves me lots of timing banking.,"Nov 30, 2023","November 09, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,App is great and easy to navigate,App is great and easy to navigate.  Can do I a need for my small business on my phone.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Easy to use and secure online bank…,Easy to use and secure online bank account.  I have been very happy so far with finor!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor Bank ROCKS!,finor Bank is very reliable & is indispensable to my small business. They ROCK!,"Nov 30, 2023","December 15, 2022",5,2023,2022,11,,,,,,,,,,,,
Rated 5 out of 5 stars,"simple, no frills banking for small business","customer experience, overall ease of banking.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great for my small business!,"finor has been a blessing for my small business needs. Super easy to use and accommodating on all levels. Thanks guys, keep up the great work!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great Option for StartUps and All SMBs,Started an account in February 2021 for my LLC.  Everything has worked perfectly and finor's constant development demonstrates a commitment to SMBs!,"Nov 30, 2023","November 30, 2022",5,2023,2022,12,,,,,,,,,,,,
Rated 4 out of 5 stars,I would've gave 5 stars if there were …,I would've gave 5 stars if there were  way to deposit cash ! Other than that finor is great,"Nov 30, 2023","November 30, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Such a wonderful bank!,Such a wonderful bank!! So glad I found them!!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Best mobile banking experience I’ve found,"The absolute best and most well thought out mobile banking experience I have ever used. The finor service is fast and easy to navigate. It has all the features you’d expect and can even connect to Ecom platforms for seamless integration. You are issued a physical card as well as a virtual card for your mobile wallet. They even have the availability for funding through their credit program. I love their feature of being able to a lot funds under multiple categories to keep things organized. There are no hidden or minimum account fees, gimmicks or games, what you see is what you get and it just works. Their customer services also fabulous and can be accessed within the app via chat. It really is a revolutionary service when it comes to banking. I highly recommend finor Bank and their services. 10 stars!!!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor customer service,Your team responded quickly to my question! finor is a great online banking system I appreciate your continuous improvements to the website.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Your team responded quickly to my…,Have only been banking with them for about 4 months but they are far beyond a pleasure to work with.  Easily able to maneuver around the site and linking different apps including payroll has been a breeze.  Would recommend for all.,"Nov 30, 2023","November 24, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,5 Star New but Impressed!!,They are great and very easy to work with for a start up,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,They are great and very easy to work…,It works how I expected it too. Also little by little it keeps adding features that I see being handy in the near future,"Nov 30, 2023","December 30, 2022",5,2023,2022,11,,,,,,,,,,,,
Rated 4 out of 5 stars,Great so far,"easy, no fees, exactly what i need for simple business banking","Nov 30, 2023","November 29, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,easy,Very simple company to use for my small business. I’ve never had a problem receiving payments or processing payments.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I am old school,I am old school!  Never thought I would consider online banking as a resource for my business.  finor provided great resources for me to understand the benefits of putting my banking needs finger tips away.  I like that I can take care of my banking transactions quickly and on my schedule.,"Nov 30, 2023","November 01, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great bank!,Great bank with little to no fees which has been a blessing as a small business owner just starting out. Would recommend it to any in the online space looking to open their business account.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor has been good to my company…,finor has been good to my company account. Thank you for all your great service and help with all my company account needs.,"Nov 30, 2023","November 01, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great Option for 1st Time Business Owners,"finor is an easy to use business bank that is great for 1st time business owners. They offer the same benefits as the major banks without the minimum requirements, which is why most people starting out aren’t able to open business accounts at major institutes. This is really helpful, because the first 3 years in business can either go really well or be an absolute disaster! It’s a peace of mind knowing I won’t be charged additional fees just to keep the account, especially when business isn’t going so great.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Easy to use and an excellent customer…,Easy to use and an excellent customer service.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,goode...................,"finor is the BEST! I have been using them for about a year now to deposit checks and money orders from my customers and everything has been GREAT! Thank you finor for your Excellent Service, I really appreciate it!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is the BEST!,What a fantastic experience I’ve with finor! I can’t simply recommend enough. Everything is smooth and online request are resolved with in hours!,"Nov 30, 2023","November 29, 2023",5,2023,2023,0,,,,,,,,,,,,
